name,company,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon,energy_source_level_1,energy_source_level_2,energy_source_level_3
Rheinfelden,,,,Rheinfelden,CH,100.0,Hydro,Run-of-river,,,,2010.0,- Ersatz alte Zentrale Rheinfelden im Jahr 2010;  ; ,BFE,,47.5688531592,7.8129757269,Renewable energy,Hydro,
Rheinfelden-Dotierzentrale,,,,Rheinfelden,CH,1.8,Hydro,Run-of-river,,,,2011.0,,BFE,,47.5688531592,7.8129757269,Renewable energy,Hydro,
Augst,,,,Augst,CH,35.0,Hydro,Run-of-river,,,,1994.0,,BFE,,47.5367624123,7.70968848078,Renewable energy,Hydro,
Wyhlen,,,,Grenzach-Wyhlen,CH,38.5,Hydro,Run-of-river,,,,1994.0,,BFE,,47.5387456625,7.70770633233,Renewable energy,Hydro,
Birsfelden,,,,Birsfelden,CH,100.0,Hydro,Run-of-river,,,,1999.0,,BFE,,47.5598609367,7.62636460556,Renewable energy,Hydro,
Moutier,,,,Gorges de Court,CH,0.92,Hydro,Run-of-river,,,,1979.0,,BFE,,47.2656875543,7.34903942074,Renewable energy,Hydro,
Choindez,,,,Choindez,CH,0.58,Hydro,Run-of-river,,,,2003.0,,BFE,,47.3222821543,7.37844081384,Renewable energy,Hydro,
Blanches-Fontaines Undervelier,,,,"Undervelier, Blanches-Fontaine",CH,0.32,Hydro,Run-of-river,,,,2001.0,,BFE,,47.2948384497,7.22127698932,Renewable energy,Hydro,
Bassecourt,,,,"Chez Theurillat, Haute-Sorne",CH,1.03,Hydro,Run-of-river,,,,2001.0,,BFE,,47.331015929,7.23197724871,Renewable energy,Hydro,
Bellerive,,,,Soyhières,CH,0.52,Hydro,Run-of-river,,,,2002.0,,BFE,,47.3828021223,7.35916951758,Renewable energy,Hydro,
Juramill,,,,Laufen,CH,0.35,Hydro,Run-of-river,,,,1997.0,,BFE,,47.4105191351,7.49467015206,Renewable energy,Hydro,
Laufen (Wasserfall),,,,Laufen,CH,0.72,Hydro,Run-of-river,,,,1995.0,,BFE,,47.4196898837,7.50117302601,Renewable energy,Hydro,
"Zwingen, Obermatt",,,,Zwingen,CH,0.38,Hydro,Run-of-river,,,,2005.0,,BFE,,47.4364944597,7.52399277792,Renewable energy,Hydro,
Nenzlingen,,,,Nenzlingen,CH,0.34,Hydro,Run-of-river,,,,1997.0,,BFE,,47.4438497021,7.5478685338,Renewable energy,Hydro,
Moos,,,,Grellingen,CH,0.98,Hydro,Run-of-river,,,,1999.0,,BFE,,47.4387770608,7.58113219065,Renewable energy,Hydro,
Büttenen 2,,,,Grellingen,CH,0.5,Hydro,Run-of-river,,,,2000.0,- Nutzungsdauer:  Bezogen auf die Ausbauwassermenge von 13.0 m3/s (Zentralen Büttenen 1 und Büttenen 2);                        ; ,BFE,,47.4428086273,7.59347246718,Renewable energy,Hydro,
Büttenen 1,,,,Grellingen,CH,0.55,Hydro,Run-of-river,,,,1999.0,- Nutzungsdauer:  Bezogen auf die Ausbauwassermenge von 13.0 m3/s (Zentralen Büttenen 1 und Büttenen 2);                         ; ,BFE,,47.4428086273,7.59347246718,Renewable energy,Hydro,
Dornachbrugg,,,,Dornach,CH,1.54,Hydro,Run-of-river,,,,1996.0,,BFE,,47.4890184953,7.60740615434,Renewable energy,Hydro,
Neuewelt,,,,Münchenstein,CH,1.07,Hydro,Run-of-river,,,,1998.0,,BFE,,47.5257818674,7.62173011689,Renewable energy,Hydro,
Am. de dotation du Kembs 1,,,,Barrage de Kembs,CH,2.85,Hydro,Run-of-river,,,,1966.0,,BFE,,47.6194755433,7.57030818507,Renewable energy,Hydro,
Kembs,,,,"Kembs, Loechle",CH,155.0,Hydro,Run-of-river,,,,1983.0,,BFE,,47.6549559529,7.51941590623,Renewable energy,Hydro,
Grimsel 2,,,,"Grimsel, Chessituren",CH,348.0,Hydro,Pumped storage with natural inflow,,,,1981.0,- Zentrale Grimsel 2 praktiziert Umwälzbetrieb            ; ,BFE,,46.5680720667,8.31932651704,Renewable energy,Hydro,
Grimsel 1-Oberaarsee,,,,"Grimsel, Sommerloch u.Hospiz",CH,35.3,Hydro,Reservoir,,,,2006.0,- Zentralen Grimsel 1 (Oberaarsee) und Grimsel 1 (Grimselsee) in einer Kaverne;     ;                                                    ; ,BFE,,46.5753380766,8.33353407357,Renewable energy,Hydro,
Grimsel 1-Grimselsee,,,,"Grimsel, Sommerloch, u.Hospiz",CH,32.5,Hydro,Reservoir,,,,2007.0,- Zentralen Grimsel 1 (Oberaarsee) und Grimsel 1 (Grimselsee) in einer Kaverne;    ;                                                    ; ,BFE,,46.5753380766,8.33353407357,Renewable energy,Hydro,
Handeck 1,,,,Handegg,CH,100.0,Hydro,Reservoir,,,,1932.0,"- Die Zentralenwerte beziehen sich auf die Anlage vor der Systemanpassung mit dem Projekt ""Tandem"";   Nach der Inbetriebnahme des Projektes ""Tandem"" im Jahre 2016 sind folgende Werte zu erwarten:;   Ausbauwassermenge (an 100 Tagen erreicht)		=   20.10 m3/s;   Installierte Leistung sämtlicher Turbinen		=   100.00 MW;   Maximal mögliche Leistung ab Generatoren		=   90.00 MW;   Mittlere Produktionserwartung im Sommerhalbjahr	=   153.70 GWh;   Mittlere Produktionserwartung im Winterhalbjahr		=   53.60 GWh;   Mittlere Produktionserwartung im Jahr			=   206.30 GWh;   Kote Maschinensaalboden				=   1412.70 m.ü.M; - Status der Zentrale: Aufnahme des Normalbetriebes ist im Jahr 2016 vorgesehen",BFE,,46.6168313032,8.30758712831,Renewable energy,Hydro,
Handeck 3 - Isogyre,,,,Handegg,CH,55.0,Hydro,Pumped storage,,,,1976.0,- Zentrale Handeck 3: Pumpen-Turbinenbetrieb mit Isogyre-Maschine     ;   a) 	Im Turbinenbetrieb: Die Isogyre turbiniert das Wasser aus dem Räterichsbodensee. Dieses wird über das Ausgleichsbecken Handeck; 	entweder zur Zentrale Innertkirchen 1 oder über die Reservoirkammern Trift zur Zentrale Hopflauenen (Trift) geleitet ;   b) 	Im Pumpbetrieb: Die Isogyre pumpt das Wasser aus den Reservoirkammern Trift und/oder aus dem Ausgleichsbecken Handeck; 	in den Räterichsbodensee ; - Zentralen Handeck 3 (Isogyre) und Handeck 3 (Pumpzentrale) in einer Kaverne;                    ;       ;                                                     ;          ,BFE,,46.6156957263,8.30313005616,Renewable energy,Hydro,
Handeck 3 - Diagonalpumpe,,,,Handegg,CH,0.0,Hydro,Pumped storage,,,,1976.0,"- Mit der Diagonalpumpe kann, wenn es die Laufzuflüsse im Gadmental zulassen, Wasser aus dem Ausgleichsbecken Handeck;   via Reservoirkammern Trift zur Zentrale Hopflauenen (Trift) verschoben werden; - Zentralen Handeck 3 (Isogyre) und Handeck 3 (Pumpzentrale) in einer Kaverne   ;        ;                    ;  ;                                                   ;  ; ",BFE,,46.6156957263,8.30313005616,Renewable energy,Hydro,
Gental,,,,"Underi-Furen, Innertkirchen",CH,10.3,Hydro,Reservoir,,,,1961.0,- Zentralen Fuhren und Fuhren (Pumpzentrale) in einem Gebäude   ; ,BFE,,46.7271910884,8.33369724917,Renewable energy,Hydro,
Gental,,,,"Underi-Furen, Innertkirchen",CH,0.0,Hydro,Reservoir,,,,1961.0,- Das Gadmerwasser wird mittels der Pumpzentrale Fuhren  in den Zulaufstollen Steinwasser-Trift gepumpt ; - Zentralen Fuhren und Fuhren (Pumpzentrale) in einem Gebäude     ;                                                         ;   ; ,BFE,,46.7271910884,8.33369724917,Renewable energy,Hydro,
Hopflauenen-Trift,,,,Hopflauenen,CH,85.4,Hydro,Reservoir,,,,1974.0,"- Betrieb je nach Saison                                        ;   a) Laufkraftwerkbetrieb:  Sommer, dh. Zufluss zur Reservoirkammer Trift gleich oder  grösser 14 m3/s                                      ;   b) Lauf- und Speicherkraftwerkbetrieb gemischt:  Frühling/Herbst, dh. natürlicher Zufluss zur Reservoirkammer Trift = 2 - 14 m3/s,    ;                                                			  Rest bis 21 m3/s Speicherwasser ab Zentrale Handeck 3 (Isogyre);   c) Speicherkraftwerkbetrieb: Winter, dh. Speicherwasser ab Zentrale Handeck 3 (Isogyre); - Zentrale Hopflauenen (Trift) und Hopflauenen (Leimboden) in einem Gebäude                ;       ;      ;                                          ;                                    ",BFE,,46.715113414,8.27751698219,Renewable energy,Hydro,
Hopflauenen-Leimboden,,,,Hopflauenen,CH,6.0,Hydro,Run-of-river,,,,1967.0,- Zentralen Hopflauenen (Trift) und Hopflauenen (Leimboden) in einem Gebäude    ;                                                 ; ,BFE,,46.715113414,8.27751698219,Renewable energy,Hydro,
Innertkirchen 2,,,,Innertkirchen,CH,62.0,Hydro,Reservoir,,,,1974.0,"- Betrieb je nach Saison;   a) Laufkraftwerkbetrieb im Sommer;   b) Lauf- und Speicherkraftwerkbetrieb gemischt im Frühling und im Herbst;   c) Speicherkraftwerkbetrieb im Winter ; - Die Zentralenwerte beziehen sich auf die Anlage vor der Systemanpassung mit dem Projekt ""Tandem"";   Nach der Inbetriebnahme des Projektes ""Tandem"" im Jahre 2016 sind folgende Werte zu erwarten:;   Ausbauwassermenge (an 100 Tagen erreicht)		=   29.00 m3/s;   Installierte Leistung sämtlicher Turbinen		=   62.00 MW;   Maximal mögliche Leistung ab Generatoren		=   52.50 MW;   Mittlere Produktionserwartung im Sommerhalbjahr	=   137.50 GWh",BFE,,46.7085534816,8.22601948865,Renewable energy,Hydro,
Meiringen 2,,,,"Meiringen, Haselholz",CH,1.65,Hydro,Run-of-river,,,,1950.0,- Rechtsgrundlage: Konzessionsverhandlungen im Gange. Entscheid wird Ende 2016 erwartet           ; ,BFE,,46.7317817542,8.19665922545,Renewable energy,Hydro,
Meiringen 1,,,,Meiringen,CH,1.0,Hydro,Run-of-river,,,,1946.0,,BFE,,46.7287537496,8.19203780743,Renewable energy,Hydro,
Schattenhalb 3,,,,Schattenhalb,CH,9.7,Hydro,Run-of-river,,,,2010.0,,BFE,,46.7194470022,8.18458296836,Renewable energy,Hydro,
Giessbach,,,,Brienz,CH,0.9,Hydro,Run-of-river,,,,2005.0,,BFE,,46.7344427309,8.01888764388,Renewable energy,Hydro,
Grindelwald,,,,Grindelwald,CH,1.4,Hydro,Reservoir,,,,1960.0,,BFE,,46.6264198282,8.05024233615,Renewable energy,Hydro,
Burglauenen-Lütschental,,,,Lütschental,CH,11.9,Hydro,Run-of-river,,,,2011.0,,BFE,,46.6373283443,7.95450426806,Renewable energy,Hydro,
Stechelberg,,,,"Lauterbrunnen, Stechelberg",CH,4.3,Hydro,Run-of-river,,,,1979.0,,BFE,,46.544726438,7.89990747896,Renewable energy,Hydro,
Saxettal-Geissbrunnen,,,,Saxeten,CH,0.48,Hydro,Run-of-river,,,,1999.0,- Trinkwasserkraftwerk; ,BFE,,46.6283781404,7.82997757095,Renewable energy,Hydro,
Saxettal-Kammri,,,,Wilderswil,CH,0.8,Hydro,Run-of-river,,,,1998.0,- Trinkwasserkraftwerk; ,BFE,,46.65762105,7.853444546,Renewable energy,Hydro,
Interlaken,,,,"Interlaken, Kanal",CH,0.82,Hydro,Run-of-river,,,,1932.0,,BFE,,46.6826409841,7.85010729942,Renewable energy,Hydro,
Interlaken,,,,Unterseen,CH,0.3,Hydro,Run-of-river,,,,1996.0,,BFE,,46.6820230364,7.84683489879,Renewable energy,Hydro,
Kandersteg (Eggeschwand),,,,"Kandersteg, Eggeschwand",CH,2.1,Hydro,Run-of-river,,,,2009.0,,BFE,,46.4750989753,7.66012339529,Renewable energy,Hydro,
Kandersteg (Zilfuri),,,,"Kandersteg, Zilfuri",CH,1.09,Hydro,Run-of-river,,,,1958.0,- Trinkwasserkraftwerk; ,BFE,,46.4956334904,7.69159893354,Renewable energy,Hydro,
Kandersteg (Dorf),,,,"Kandersteg, Dorf",CH,1.03,Hydro,Run-of-river,,,,2012.0,,BFE,,46.4959386063,7.67518789714,Renewable energy,Hydro,
Kandergrund,,,,Inner-Kandergrund,CH,19.0,Hydro,Run-of-river,,,,1991.0,,BFE,,46.5427473984,7.65948659951,Renewable energy,Hydro,
Engstligenalp,,,,"Adelboden, Engstligenalp",CH,0.6,Hydro,Run-of-river,,,,2011.0,,BFE,,46.4491601982,7.56175847554,Renewable energy,Hydro,
Moosweid,,,,"Adelboden, Moosweid",CH,0.35,Hydro,Run-of-river,,,,2014.0,,BFE,,46.4961001155,7.57684401786,Renewable energy,Hydro,
Engstlige,,,,Adelboden,CH,0.5,Hydro,Run-of-river,,,,1996.0,,BFE,,46.5068875836,7.58273413036,Renewable energy,Hydro,
Spiez,,,,Längmad am Thunersee,CH,18.66,Hydro,Run-of-river,,,,1986.0,- Ausbauwassermenge:	Bezogen auf die Zuleitungskapazität ab Weiher Spiezmoos       ; - Nutzungsdauer: 		Bezogen auf die Zuleitungskapazität ab Simme- und Kanderwehr bis Weiher Spiezmoos;                                              ;         			12 m3/s + 14 m3/s = 26 m3/s;                          ;                               ; ,BFE,,46.6966510403,7.6649514724,Renewable energy,Hydro,
Berner Green Power GmbH,,,,Weissenburg,CH,0.37,Hydro,Run-of-river,,,,1999.0,,BFE,,46.6669162637,7.46411851171,Renewable energy,Hydro,
Klusi,,,,Erlenbach,CH,1.3,Hydro,Reservoir,,,,1996.0,- Rechtsgrundlage: Betriebsbewilligung an Privatgewässer       ; - Ersatz alte Zentrale Klusi im Jahr 1996                                        ; ,BFE,,46.6638985262,7.54826368379,Renewable energy,Hydro,
Erlenbach,,,,Erlenbach,CH,18.0,Hydro,Run-of-river,,,,2005.0,,BFE,,46.6568821564,7.54811891222,Renewable energy,Hydro,
Simmenfluh,,,,Simmenfluh (Wimmis),CH,9.0,Hydro,Run-of-river,,,,2000.0,,BFE,,46.6727987868,7.62264084059,Renewable energy,Hydro,
AAREwerk 62 Thun,,,,Thun,CH,6.32,Hydro,Run-of-river,,,,1962.0,,BFE,,46.7616886927,7.61338717639,Renewable energy,Hydro,
AAREwerk 94 Thun,,,,Thun,CH,2.83,Hydro,Run-of-river,,,,1994.0,- Ersatz Zentrale Thun-Aare 1917 am Gewerbekanal im Jahr 1994                                ; ,BFE,,46.7616779127,7.62032482826,Renewable energy,Hydro,
Thun (Eidg.),,,,"Thun, Kanal (Uttigenstr.)",CH,0.44,Hydro,Run-of-river,,,,1937.0,,BFE,,46.761596737,7.61469587515,Renewable energy,Hydro,
Blumenstein,,,,Blumenstein,CH,0.64,Hydro,Run-of-river,,,,1990.0,-Trinkwasserkraftwerk; ,BFE,,46.727704518,7.51333335379,Renewable energy,Hydro,
Matte,,,,"Bern, Matte",CH,1.16,Hydro,Run-of-river,,,,1986.0,,BFE,,46.9464934587,7.45675932783,Renewable energy,Hydro,
Felsenau,,,,Engehalde,CH,0.44,Hydro,Run-of-river,,,,1998.0,,BFE,,46.9658342354,7.44467696468,Renewable energy,Hydro,
Felsenau,,,,Felsenau,CH,11.5,Hydro,Run-of-river,,,,1989.0,,BFE,,46.9684429408,7.43942106448,Renewable energy,Hydro,
Mühleberg,,,,Buttenried,CH,44.59,Hydro,Run-of-river,,,,1965.0,,BFE,,46.9691475017,7.28449397374,Renewable energy,Hydro,
Sanetsch,,,,Innergsteig,CH,18.0,Hydro,Reservoir,,,,1966.0,,BFE,,46.3764261319,7.27799985349,Renewable energy,Hydro,
Lauenen (Louibach),,,,Lauenen bei Gstaad,CH,0.9,Hydro,Run-of-river,,,,2014.0,,BFE,,46.4241533318,7.31831395313,Renewable energy,Hydro,
Gsteig,,,,Gsteig b.Gstaad,CH,0.72,Hydro,Run-of-river,,,,2015.0,,BFE,,46.3852280895,7.26861425605,Renewable energy,Hydro,
Gérignoz - La Pontia,,,,"Château d'Oex, Gérignoz",CH,0.45,Hydro,Run-of-river,,,,1996.0,,BFE,,46.4732724541,7.165215604,Renewable energy,Hydro,
Montbovon,,,,Montbovon,CH,31.0,Hydro,Run-of-river,,,,1972.0,,BFE,,46.4879524618,7.04831690495,Renewable energy,Hydro,
Lessoc,,,,Lessoc,CH,8.56,Hydro,Run-of-river,,,,1973.0,,BFE,,46.5060508043,7.05326712822,Renewable energy,Hydro,
Sainte - Anne,,,,Grandvillard,CH,2.9,Hydro,Run-of-river,,,,1999.0,,BFE,,46.5351297566,7.08799404019,Renewable energy,Hydro,
Jaun,,,,Jaun,CH,0.38,Hydro,Run-of-river,,,,1982.0,,BFE,,46.6085004996,7.26934360331,Renewable energy,Hydro,
Charmey (La Tzintre),,,,"Charmey, La Tzintre",CH,0.86,Hydro,Run-of-river,,,,2012.0,,BFE,,46.6118329212,7.17691300027,Renewable energy,Hydro,
Charmey (La Perré),,,,"Charmey, Le Perré",CH,5.27,Hydro,Run-of-river,,,,1982.0,,BFE,,46.6145855566,7.16175653751,Renewable energy,Hydro,
Broc,,,,Broc,CH,25.0,Hydro,Run-of-river,,,,1988.0,,BFE,,46.6098576224,7.10930675272,Renewable energy,Hydro,
Am.de dotation d'Hauterive 1,,,,Rossens,CH,0.7,Hydro,Run-of-river,,,,1976.0,- La centrale est hors fonction pendant l'hiver; ,BFE,,46.7179036853,7.1124380045,Renewable energy,Hydro,
Am. de dotation d'Hauterive 2,,,,Rossens,CH,1.7,Hydro,Run-of-river,,,,2005.0,,BFE,,46.7179036853,7.1124380045,Renewable energy,Hydro,
Hauterive,,,,Hauterive,CH,60.0,Hydro,Reservoir,,,,1948.0,,BFE,,46.7689506687,7.1275763544,Renewable energy,Hydro,
Am.de dotation d'Oelberg,,,,"Fribourg, Maigrauge",CH,0.58,Hydro,Run-of-river,,,,1952.0,,BFE,,46.7987340488,7.16591494327,Renewable energy,Hydro,
Oelberg,,,,"Fribourg, Oelberg",CH,18.3,Hydro,Reservoir,,,,1980.0,,BFE,,46.8017059504,7.1673408094,Renewable energy,Hydro,
Schiffenen,,,,Schiffenen,CH,71.0,Hydro,Reservoir,,,,1964.0,,BFE,,46.8827252047,7.19421903622,Renewable energy,Hydro,
Niederried,,,,"Niederried, Radelfingen",CH,15.0,Hydro,Run-of-river,,,,1992.0,- Nutzungsdauer: 	Bezogen auf die Ausbauwassermenge von 215 m3/s  (Zentralen Niederried und Kallnach); - Ersatzenergie: 	Siehe Zentrale Aarberg                            ;                          ; ,BFE,,47.0031721765,7.24113567118,Renewable energy,Hydro,
Aarberg,,,,Aarberg,CH,15.2,Hydro,Run-of-river,,,,1994.0,"- Nutzungsdauer: 	Bezogen auf die Ausbauwassermenge von 215 m3/s (Zentralen Niederried, Aarberg und Kallnach); - Ersatzenergie: 	Die Angabe bezieht sich auf die Zentralen Niederried, Aarberg, Kallnach und Hagneck. Einzelwerte ;                      	der Zentralen nicht bekannt ; Das Dotierkraftwerk Aaberg erzeugt mit 210 kW Leistung und 3.5 m3/s Wasserdurchsatz eine Jahresproduktion von 1.5 GWh;; diese wird dem KW Aarberg zugerechnet. Mit einer Erneuerung des Dotierkraftwekes wird die 300 kW Leistung erreicht und; wird somit als eigene Anlage in der WASTA aufgenommen.;                   ;  ;                          	; ",BFE,,47.0378523989,7.27192721071,Renewable energy,Hydro,
Kallnach,,,,Kallnach,CH,8.3,Hydro,Run-of-river,,,,1980.0,- Die konzedierte Ausbauwassermenge beträgt 70 m3/s            ; - Ersatzenergie: 	Bezug von Forces Motrices Hongrin-Léman SA bereits unter Zentrale Aarberg aufgeführt    ;                      	Einzelwerte der Zentralen nicht bekannt;                         ; ,BFE,,47.0214990152,7.22817749023,Renewable energy,Hydro,
Hagneck 2,,,,Hagneck,CH,20.96,Hydro,Run-of-river,,,,2015.0,- Ersatzenergie: 	Bezug von Forces Motrices Hongrin-Léman SA  bereits unter Zentrale Aarberg aufgeführt    ;                     	Einzelwerte der Zentralen nicht bekannt;  ;  ; ,BFE,,47.0596245726,7.17800844643,Renewable energy,Hydro,
La Dernier,,,,La Dernier,CH,28.0,Hydro,Reservoir,,,,1988.0,,BFE,,46.7020995589,6.34993754477,Renewable energy,Hydro,
La Jougnenaz,,,,Vallorbe,CH,2.35,Hydro,Run-of-river,,,,1970.0,,BFE,,46.7232276398,6.39660508601,Renewable energy,Hydro,
Les Clées,,,,Les Clées,CH,30.0,Hydro,Run-of-river,,,,1955.0,,BFE,,46.7311268769,6.44499252092,Renewable energy,Hydro,
Montcherand,,,,Montcherand,CH,15.5,Hydro,Run-of-river,,,,1950.0,,BFE,,46.7272057233,6.51348662252,Renewable energy,Hydro,
Le Chalet,,,,Orbe,CH,2.6,Hydro,Run-of-river,,,,1988.0,,BFE,,46.7277263163,6.52224302381,Renewable energy,Hydro,
Moulinets sur l'Orbe,,,,Orbe,CH,0.77,Hydro,Run-of-river,,,,2013.0,,BFE,,46.7209697782,6.53229949585,Renewable energy,Hydro,
St.Sulpice,,,,St.Sulpice,CH,3.9,Hydro,Run-of-river,,,,1988.0,- La nouvelle centrale de St.Sulpice remplace entre autres la centrale de La Doux (205800);                                    ; ,BFE,,46.9106213602,6.55745141266,Renewable energy,Hydro,
Le Furcil,,,,"Noiraigue, Le Furcil",CH,0.68,Hydro,Run-of-river,,,,1956.0,,BFE,,46.9536626014,6.73186608774,Renewable energy,Hydro,
Plan-de-l'Eau,,,,Brot - Dessous,CH,1.11,Hydro,Run-of-river,,,,1928.0,,BFE,,46.9531054291,6.74369685922,Renewable energy,Hydro,
Les Moyats,,,,"Brot-Dessous, Les Moyats",CH,1.6,Hydro,Run-of-river,,,,1940.0,,BFE,,46.9529131011,6.75657368575,Renewable energy,Hydro,
Combe-Garot,,,,"Boudry, Combe-Garot",CH,4.86,Hydro,Run-of-river,,,,1961.0,,BFE,,46.9623191064,6.79639758751,Renewable energy,Hydro,
Usine du Chanet,,,,Boudry,CH,4.4,Hydro,Run-of-river,,,,1972.0,,BFE,,46.9592586149,6.82888645291,Renewable energy,Hydro,
Boudry (les Essert),,,,Boudry,CH,0.5,Hydro,Run-of-river,,,,2014.0,,BFE,,46.9508768262,6.84290644242,Renewable energy,Hydro,
Serrières centrale 3,,,,"Neuchâtel, Serrières",CH,0.51,Hydro,Run-of-river,,,,1983.0,,BFE,,46.9841816382,6.9018180623,Renewable energy,Hydro,
Serrières centrale 1,,,,"Neuchâtel, Serrières",CH,0.36,Hydro,Run-of-river,,,,1979.0,,BFE,,46.9823937374,6.90420191833,Renewable energy,Hydro,
Serrières centrale 2,,,,"Neuchâtel, Serrières",CH,0.32,Hydro,Run-of-river,,,,1979.0,,BFE,,46.9817665493,6.90473393392,Renewable energy,Hydro,
Sous les Roches,,,,Sonceboz,CH,0.39,Hydro,Run-of-river,,,,2005.0,,BFE,,47.1896143522,7.18396966384,Renewable energy,Hydro,
Rondchâtel,,,,"Péry, Rondchâtel",CH,3.0,Hydro,Run-of-river,,,,2013.0,,BFE,,47.1710326223,7.24974576351,Renewable energy,Hydro,
Frinvillier,,,,Frinvillier,CH,0.35,Hydro,Run-of-river,,,,2005.0,,BFE,,47.1683406671,7.25371218143,Renewable energy,Hydro,
Taubenloch,,,,Biel-Bözingen,CH,0.32,Hydro,Run-of-river,,,,2006.0,,BFE,,47.1607076521,7.26165130183,Renewable energy,Hydro,
Bözingen,,,,Bözingen,CH,3.25,Hydro,Run-of-river,,,,2013.0,,BFE,,47.1545087131,7.26655078925,Renewable energy,Hydro,
Brügg,,,,Brügg,CH,5.2,Hydro,Run-of-river,,,,1995.0,,BFE,,47.1191458966,7.2580998136,Renewable energy,Hydro,
Wannenfluh,,,,Rüderswil,CH,0.42,Hydro,Run-of-river,,,,1999.0,,BFE,,46.9973291774,7.7219601987,Renewable energy,Hydro,
Hagerhüsli,,,,Bätterkinden,CH,0.5,Hydro,Run-of-river,,,,2002.0,,BFE,,47.1209582677,7.53548691316,Renewable energy,Hydro,
Bätterkinden,,,,Bätterkinden,CH,0.4,Hydro,Run-of-river,,,,2002.0,,BFE,,47.1330038883,7.54407602098,Renewable energy,Hydro,
Utzenstorf,,,,Utzenstorf,CH,0.38,Hydro,Run-of-river,,,,1949.0,,BFE,,47.1458646634,7.54607873841,Renewable energy,Hydro,
Gerlafingen 1,,,,Wiler bei Utzenstorf,CH,0.5,Hydro,Run-of-river,,,,1995.0,,BFE,,47.1558500995,7.54477997909,Renewable energy,Hydro,
Biberist,,,,Biberist,CH,0.5,Hydro,Run-of-river,,,,1985.0,,BFE,,47.1835291625,7.56911004647,Renewable energy,Hydro,
Emmenhof,,,,Derendingen,CH,0.33,Hydro,Run-of-river,,,,1986.0,,BFE,,47.1948463818,7.582729415,Renewable energy,Hydro,
Untere Emmengasse,,,,Luterbach,CH,0.86,Hydro,Run-of-river,,,,2001.0,,BFE,,47.2045650167,7.57919186742,Renewable energy,Hydro,
Luterbach,,,,Luterbach,CH,0.32,Hydro,Run-of-river,,,,1988.0,,BFE,,47.2141946615,7.57472874781,Renewable energy,Hydro,
Flumenthal,,,,Riedholz,CH,23.4,Hydro,Run-of-river,,,,2009.0,,BFE,,47.2291069149,7.58995168618,Renewable energy,Hydro,
Bannwil,,,,Bannwil,CH,28.5,Hydro,Run-of-river,,,,2000.0,,BFE,,47.2293726093,7.73229827172,Renewable energy,Hydro,
Wynau I,,,,Oberwynau,CH,12.0,Hydro,Run-of-river,,,,1996.0,- Nutzungsdauer:	Bezogen auf die Ausbauwassermenge von 420 m3/s  (Zentralen Wynau und Schwarzhäusern); - Die Konzession wird ab der Kollaudation im Sommer 2016 zu laufen beginnen und beträgt 80 Jahre;                        ;                                         ; ,BFE,,47.2556656529,7.78674041559,Renewable energy,Hydro,
Wynau II,,,,Schwarzhäusern,CH,8.2,Hydro,Run-of-river,,,,1979.0,- Nutzungsdauer: 	Bezogen auf die Ausbauwassermenge von 420 m3/s  (Zentralen Wynau und Schwarzhäusern); - Die Konzession wird ab der Kollaudation 2016 zu laufen beginnen und beträgt 80 Jahre;                           ; ,BFE,,47.2568389099,7.78542689694,Renewable energy,Hydro,
Ruppoldingen,,,,Boningen,CH,23.0,Hydro,Run-of-river,,,,2000.0,- Ersatz alte Zentrale Ruppoldingen im Jahr 2000                                  ; ,BFE,,47.3122915561,7.87770217417,Renewable energy,Hydro,
Aarburg,,,,Aarburg,CH,0.42,Hydro,Run-of-river,,,,2006.0,,BFE,,47.3191178376,7.90315413711,Renewable energy,Hydro,
"Dünnern, Olten",,,,Olten,CH,0.37,Hydro,Run-of-river,,,,2015.0,,BFE,,47.3486379073,7.89864659258,Renewable energy,Hydro,
Gösgen,,,,Niedergösgen,CH,51.3,Hydro,Run-of-river,,,,2000.0,,BFE,,47.3694251427,7.97945465498,Renewable energy,Hydro,
Aarau Stadt,,,,Aarau,CH,16.93,Hydro,Run-of-river,,,,1964.0,- Konzessionserneuerung und Ausbau wurde durch die Kantone Solothurn und Aargau zugestimmt. Aufgrund eines Verfahrens;    jedoch noch nicht rechtskräftig. Neue Konzession würde bis ins Jahr 2082 laufen.; ,BFE,,47.3947817334,8.03587458337,Renewable energy,Hydro,
Rüchlig - HKW,,,,Aarau,CH,9.2,Hydro,Run-of-river,,,,2014.0,,BFE,,47.3997456678,8.0498397695,Renewable energy,Hydro,
Rüchlig-Dotierzentrale,,,,Aarau,CH,1.2,Hydro,Run-of-river,,,,2014.0,,BFE,,47.3991034678,8.05221688004,Renewable energy,Hydro,
Rupperswil-Auenstein,,,,Auenstein,CH,40.0,Hydro,Run-of-river,,,,1993.0,,BFE,,47.411796663,8.1147717897,Renewable energy,Hydro,
Rupperswil-Auenstein,,,,Rupperswil,CH,1.74,Hydro,Run-of-river,,,,2010.0,- Ersatz alte Zentrale Rupperswil-Dotierzentrale im Jahr 2010;  ; ,BFE,,47.4105406247,8.11422585456,Renewable energy,Hydro,
Niederlenz,,,,Niederlenz,CH,0.4,Hydro,Run-of-river,,,,1943.0,- Rechtsgrundlage: Das ehehafte Recht umfasst rd. 18% der Nutzung   ; ,BFE,,47.3991885281,8.17621146751,Renewable energy,Hydro,
